A1,and
B1,decBinCntr(0)
B2,decBinCntr(1)
B3,decBinCntr(2)
BC1,ss_conv(0)
BC2,ss_conv(1)
BC3,ss_conv(2)
BC4,ss_conv(3)
BC5,ss_conv(4)
BC6,ss_conv(5)
C1,cap(0)
C2,cap(1)
C3,cap(2)
D1,dio
D2,divby12(0)
D3,divby12(1)
D4,divby12(2)
L1,push_button
L2,ss_disp(0)
L3,ss_disp(1)
L4,ss_disp(2)
L5,ss_disp(3)
L6,ss_disp(4)
L7,ss_disp(5)
O1,or_gate
P1,battery
R1,res(0)
R2,res(1)
R3,res(2)
S1,flip_switch
U1,timer
